f1,f2,feasible,x1,x2,x3,x4,x5,x6,x7,x8
4.954099639054474480e+00,2.915536386617496589e+01,1.000000000000000000e+00,1.967312659052342383e+01,6.971133379607620029e+00,1.000010298088508875e+02,8.623621055886900422e+00,4.984587908057026340e+00,2.474085568485141717e+00,5.000000125262973256e+02,9.799994086264981474e-01
4.959553966527146862e+00,2.630218341038381169e+01,1.000000000000000000e+00,1.967311605996586010e+01,6.971195642417058025e+00,1.000010298088508875e+02,8.895848921624335048e+00,4.981753697210793419e+00,2.426216825553112244e+00,5.000000344188528629e+02,9.799931411510055534e-01
4.945946188525656595e+00,3.370561918343466346e+01,1.000000000000000000e+00,1.967315334136370808e+01,6.971129751651639950e+00,1.000010329123843889e+02,8.215908482800495349e+00,4.977730884940834599e+00,1.131467881494832461e+00,5.000000598819954689e+02,9.799995965845271773e-01
5.101072117487825075e+00,1.722311158302009383e-04,1.000000000000000000e+00,1.998823089781850015e+01,7.194797967708330688e+00,1.000000471870369552e+02,1.399982676393430481e+01,5.063007371123589451e+00,2.511481717975424299e+00,5.000013574642615595e+02,9.799989925981542616e-01
4.988457948092742456e+00,1.366314240681493253e+01,1.000000000000000000e+00,1.967333183130907770e+01,6.971590416002864110e+00,1.000003846055744816e+02,1.033748362577359714e+01,5.026113141143603080e+00,1.974151337109932403e+00,5.000000167482783695e+02,9.799523620504873023e-01
4.952813967333472789e+00,2.986262251920963351e+01,1.000000000000000000e+00,1.967361460961934227e+01,6.971135399566842139e+00,1.000010505588236356e+02,8.558219722425146614e+00,5.037502900938026329e+00,2.920402292189926641e+00,5.000005506843537546e+02,9.799997708792863582e-01
5.025185087393231775e+00,3.586984375317648688e+00,1.000000000000000000e+00,1.967413890924221320e+01,6.971645563392236511e+00,1.000002086813421300e+02,1.217287637750576401e+01,5.027437571631746316e+00,1.392550493104509846e+00,5.000001132581177785e+02,9.799995616585264191e-01
5.061530203641813941e+00,2.493622220542690004e-01,1.000000000000000000e+00,1.967405673104846642e+01,6.971204347953850800e+00,1.000005147733867688e+02,1.399280735572549617e+01,4.982911906134458668e+00,2.578058000674413375e+00,5.000000034995233591e+02,9.799935274420813469e-01
5.048854503884351530e+00,6.585828196735530327e-01,1.000000000000000000e+00,1.967358627524719239e+01,6.971137413290338536e+00,1.000000251625537686e+02,1.336053083785559181e+01,5.030945046698954926e+00,1.986700764453381396e+01,5.000001166918381159e+02,9.799999163232043786e-01
5.004895483351823771e+00,8.314621670934878139e+00,1.000000000000000000e+00,1.967319212500004255e+01,6.971581893117280160e+00,1.000002343984769908e+02,1.116003200560648168e+01,5.028137370923055904e+00,1.565007522369096682e+00,5.000001128532838379e+02,9.799689908731992194e-01
4.995686433065394283e+00,1.114068390301160782e+01,1.000000000000000000e+00,1.967322282675562661e+01,6.971649453245007066e+00,1.000003086036249869e+02,1.069975783187300067e+01,4.972930995068947091e+00,1.183104819537187602e+00,5.000000544459243770e+02,9.799997120637568004e-01
5.072144364366409697e+00,1.373171833011536114e-01,1.000000000000000000e+00,1.998592318042106086e+01,6.988256595050666320e+00,1.000000314180124406e+02,1.379737078914762449e+01,4.995325799574165337e+00,1.890886248963572935e+00,5.000010495716817331e+02,9.799984675618107488e-01
4.952813967333472789e+00,2.986262251920963351e+01,1.000000000000000000e+00,1.967361460961934227e+01,6.971135399566842139e+00,1.000010505588236356e+02,8.558219722425146614e+00,5.037502900938026329e+00,2.903066240656944963e+00,5.000005506843537546e+02,9.799997708792863582e-01
5.007382300013889953e+00,7.640828600632575629e+00,1.000000000000000000e+00,1.967360907162874994e+01,6.971571111892233219e+00,1.000003056949817761e+02,1.128120779703622922e+01,5.020097307975337486e+00,2.378375830003576219e+00,5.000001945260381717e+02,9.798553716445593809e-01
5.051933910033651998e+00,4.852977580140050984e-01,1.000000000000000000e+00,1.967337405178513521e+01,6.971117360801301288e+00,1.000000210875993787e+02,1.351472445154670687e+01,4.979383981229217326e+00,1.895457514804221688e+01,5.000014059291845001e+02,9.799999328581709968e-01
5.016748737050964912e+00,5.294222616913209833e+00,1.000000000000000000e+00,1.967420505199781644e+01,6.971142736196747514e+00,1.000003471353267201e+02,1.175391484867902037e+01,4.830477089525804679e+00,3.510375946213240006e+00,5.000000986044483398e+02,9.799988391486519346e-01
5.047493551889873586e+00,7.503416287474541368e-01,1.000000000000000000e+00,1.967338686813531012e+01,6.971124329489130744e+00,1.000037319370547237e+02,1.329250190254451525e+01,5.022958458410276883e+00,1.947744930984681933e+00,5.000000370901228166e+02,9.799991861204969679e-01
4.958204313828089127e+00,2.701085225374418997e+01,1.000000000000000000e+00,1.967418299723630071e+01,6.971136428904330273e+00,1.000000079068923924e+02,8.826847488921176321e+00,4.972792206961399231e+00,8.726198264581879194e-01,5.000000526225896920e+02,9.799997010626444460e-01
4.945496490676112522e+00,3.398708710436622482e+01,1.000000000000000000e+00,1.967414123700326911e+01,6.971130001504942442e+00,1.000000467679554674e+02,8.191582846586980438e+00,4.986711558406137890e+00,1.682483314532655205e+00,5.000000330845003873e+02,9.799999125192452309e-01
4.951782761364550645e+00,3.045343005887405852e+01,1.000000000000000000e+00,1.967338866514482021e+01,6.971661276803346574e+00,1.000000203630004165e+02,8.504142412068107504e+00,4.923077406986019255e+00,2.561630223035307630e+00,5.000000297941120948e+02,9.799962829856373459e-01
5.034820908026539144e+00,2.048016806263337486e+00,1.000000000000000000e+00,1.967316215060634832e+01,6.971169592917227931e+00,1.000010416606402401e+02,1.265903877917924625e+01,4.977753284636046160e+00,2.896556930419519116e+00,5.000011789098864483e+02,9.799963234549841085e-01
4.968164913679018468e+00,2.212673252629823750e+01,1.000000000000000000e+00,1.967357817336289827e+01,6.971629478531268909e+00,1.000038271446745455e+02,9.322628277657841522e+00,4.989411553493113161e+00,1.807806755072369098e+00,5.000001627919170915e+02,9.799999120268908515e-01
